,Hour&Minute,VehCount
58,00:00,5
16,00:15,8
36,00:30,10
63,00:45,6
30,01:00,2
26,01:15,3
54,01:30,9
79,01:45,3
31,02:00,1
40,02:15,4
14,02:30,3
90,02:45,2
70,03:00,2
20,03:15,3
6,03:30,2
62,03:45,3
91,04:00,0
61,04:15,2
23,04:30,0
86,04:45,1
57,05:00,4
18,05:15,3
53,05:30,6
69,05:45,9
10,06:00,11
94,06:15,19
87,06:30,25
45,06:45,27
8,07:00,39
39,07:15,58
68,07:30,42
46,07:45,37
80,08:00,47
93,08:15,33
35,08:30,40
75,08:45,48
19,09:00,25
28,09:15,26
12,09:30,28
56,09:45,30
7,10:00,15
2,10:15,23
48,10:30,18
81,10:45,28
50,11:00,16
76,11:15,27
51,11:30,21
5,11:45,26
25,12:00,26
3,12:15,32
43,12:30,27
67,12:45,37
78,13:00,30
71,13:15,33
13,13:30,20
15,13:45,35
1,14:00,27
38,14:15,29
59,14:30,39
52,14:45,24
17,15:00,42
89,15:15,52
34,15:30,35
65,15:45,36
49,16:00,32
66,16:15,33
72,16:30,41
0,16:45,34
85,17:00,54
41,17:15,30
88,17:30,41
95,17:45,47
47,18:00,41
84,18:15,37
74,18:30,38
92,18:45,37
55,19:00,45
22,19:15,32
29,19:30,37
64,19:45,31
24,20:00,34
37,20:15,30
83,20:30,33
21,20:45,29
44,21:00,24
33,21:15,33
9,21:30,24
32,21:45,24
73,22:00,21
60,22:15,23
77,22:30,15
11,22:45,15
27,23:00,12
42,23:15,16
4,23:30,12
82,23:45,10
